step,module,disposition,target,note,needs_review
1,guard_result,dead,,log capture for the chain itself,False
2,post_gen_phases,dead,,per-run completion counter for the chain,False
3,post_gen_phases,dead,,ditto,False
4,schema_json_repair,dead,,§29 rejects malformed agent output; nothing to repair afterwards,False
5,schema_dedup_guard,dead,,IdAllocator keys on natural identity; a second Candidate is the first,False
6,schema_import_guard,emitter,,codegen import wiring,False
7,workflow_table_guard,edge,Workflow↔API,,False
8,workflow_mutation_guard,guardrail,workflows,only the workflow agent may write workflows,False
9,list_data_source_guard,edge,Page↔API,,False
10,crud_invariants,constraint,pages.actions,,False
11,action_invariants,constraint,pages.actions,,False
12,widget_data_source_guard,constraint,widgets,Widget.dataSource is required; a hardcoded widget will not parse,False
13,stub_page_backfill,constraint,pages.states,"empty is a declared state, not a discovery",False
14,self_heal,dead,,"missing workflows are a DAG gap, not a repair",False
15,drizzle_column_guard,emitter,,Drizzle emission from data.entities,False
16,drizzle_check_guard,emitter,,Drizzle emission from constraints,False
17,fk_type_guard,constraint,data.relationships,Relationship declares both ends; a type mismatch is not writable,False
18,seed_synthesizer,emitter,,§61 seed generation from the data model,False
19,detail_polish,constraint,pages.pattern,,False
20,ensure_edit_routes,constraint,pages.route,CRUD routes derive from the entity + pattern,False
21,payment_feature,constraint,integrations,,True
22,workflow_launch_forms,constraint,workflows.launchedFrom,,False
23,task_notification_defaults,constraint,workflows.steps,,False
24,orphan_wiring_pass,edge,Page↔Workflow,,False
25,file_first_forms,emitter,,upload UI emission,False
26,submit_authority_guards,edge,Page↔Workflow,,False
27,submit_authority_guards,edge,Page↔Workflow,,False
28,workflow_trigger_button_guard,edge,Page↔Workflow,,False
29,workflow_input_map_backfill,constraint,workflows.steps,,False
30,workflow_input_map_backfill,constraint,workflows.steps,,False
31,workflow_values_clean_guard,constraint,workflows.steps,,False
32,workflow_form_field_pruner,constraint,workflows.steps,,False
33,form_scaffold,constraint,data.entities.fields,form inputs derive from entity fields; nothing to scaffold after,False
34,form_scaffold,edge,API↔Database,FK dropdown to a real entity,False
35,form_scaffold,constraint,data.entities.fields.required,,False
36,form_scaffold,constraint,data.entities.fields.enumValues,,False
37,humanize_nav_flow_labels,emitter,,labels derived from terminology; the 'batchs' class of bug,False
38,chart_type_alias,edge,Design↔DesignSystem,hallucinated chart types are the same registry violation,False
39,apply_hints_to_pages,constraint,pages,,True
40,requirement_fidelity_critic,edge,Requirement↔Code,,False
41,alias_unknown_components,edge,Design↔DesignSystem,"unknown component types are a registry violation, now detected",False
42,semantic_field_types,constraint,data.entities.fields.type,,False
43,motion_tokens_writer,emitter,,,False
44,motion_tokens_writer,emitter,,,False
45,apply_signature_moves,constraint,designSystem,,False
46,apply_signature_moves,constraint,designSystem,,False
47,logo_generator,emitter,,,False
48,illustrated_empty_pass,constraint,pages.states,,False
49,interactions_css_inject,emitter,,,False
50,edge_page_customizer,emitter,,,False
51,edge_page_customizer,emitter,,,False
